project_id,name,short_code,description,short_description,durability,status,country,country_code,location,issued,retired,active,supplier,pathway,pathway_full,pathway_type,validated_at,crediting_period_start,crediting_period_end
prj_1JCZCRW2S1S06KN0,Darjeeling Revival Project,2A0D,"The project is primarily focused on the Terai region, leveraging the high rainfall, warm summers, and collaboration with local tea growers. The project enhances soil health and crop productivity while sequestering atmospheric CO₂. This approach aids in carbon removal and supports the local economy, preserves biodiversity, and promotes sustainable agricultural practices.","The project is primarily focused on the Terai region, leveraging the high rainfall, warm summers, and collaboration with local tea growers. The project enhances soil health and crop productivity while sequestering atmospheric CO₂. This approach aids in carbon removal and supports the local economy, preserves biodiversity, and promotes sustainable agricultural practices.",OVER_ONE_THOUSAND_YEARS,VALIDATION_UNSUCCESSFUL,India,IND,"Darjeeling, India",0.0,0.0,0.0,Alt Carbon,EW,Enhanced Weathering,ENHANCED_WEATHERING,,,
prj_1HCHT9G2H1S05MYP,Deep Sky Alpha,CCTF,"Deep Sky Alpha is a facility that evaluates the energy consumption, operability, and reliability of various direct air capture technologies under real-world conditions. The project encompasses the capture, liquefaction, transport, and sequestration of CO₂. CO₂ captured at Alpha is transported by road and sequestered off-site.","Deep Sky Alpha is a facility that evaluates the energy consumption, operability, and reliability of various direct air capture technologies under real-world conditions. The project encompasses the capture, liquefaction, transport, and sequestration of CO₂. CO₂ captured at Alpha is transported by road and sequestered off-site.",OVER_ONE_THOUSAND_YEARS,VALIDATED,Canada,CAN,"Innisfail, Alberta",0.0,0.0,0.0,Deep Sky,DAC,Direct Air Capture,DIRECT_AIR_CAPTURE,2025-09-30T14:04:41.142294+00:00,2025-08-02,2030-08-02
prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,"Vaulted deploys slurry injection technology to geologically sequester organic wastes for the purpose of permanent carbon removal. Vaulted owns and operates a built and permitted injection well site in Hutchinson, Kansas. This site hosts a network of 60 salt caverns, with the total capacity to hold 2-3 million metric tons of organic waste and room to expand beyond that. Vaulted secures a range of organic wastes (including biosolids, livestock and agricultural waste, paper sludge, and others) through sustainable sourcing practices from the surrounding area. Vaulted then minimally processes the waste on-site and geologically injects them, permanently (10,000+ years) sequestering the carbon.","Vaulted owns and operates a built and permitted slurry injection well site in Hutchinson, Kansas. Vaulted secures a range of end-of-life organic wastes, which are minimally processed on site, and geologically injected for permanent underground storage.",OVER_ONE_THOUSAND_YEARS,VALIDATED,United States of America,USA,"Hutchinson, Kansas",36641.37,8828.775,27077.198,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,BIOMASS_CARBON_REMOVAL_AND_STORAGE,2023-12-22T12:00:00+00:00,2023-08-21,2028-08-20
prj_1K3S0527T1S0KYXT,Hampton Roads WAE Project,ZTF7,"CREW removes carbon dioxide from the atmosphere by deploying fine-grained natural minerals like calcium carbonate in wastewater treatment systems. The deployment location for this project includes wastewater facilities operated by the Hampton Roads Sanitation District (“HRSD”), a political subdivision of the Commonwealth of Virginia, serving the Hampton Roads region.","CREW removes carbon dioxide from the atmosphere by deploying fine-grained natural minerals like calcium carbonate in wastewater treatment systems. The deployment location for this project includes wastewater facilities operated by the Hampton Roads Sanitation District (“HRSD”), a political subdivision of the Commonwealth of Virginia, serving the Hampton Roads region.",OVER_ONE_THOUSAND_YEARS,VALIDATED,United States of America,USA,"Virginia, USA",49.53,0.0,48.539,CREW Carbon,Marine,Marine,MARINE,2025-12-18T21:34:17.128653+00:00,2025-07-01,2030-06-30
prj_1JXCRW5ST1S0EEKH,Humboldt Sawmill Company (HSC),HD88,"Pacific Biochar specializes in the production and distribution of high-quality biochar products designed to sequester carbon while enhancing agricultural and industrial productivity. Pacific Biochar utilizes existing biomass power plant infrastructure to produce biochar, enabling rapid scaling potential with low capital investments. The partnerships we make with these bioenergy facilities result in cascading community benefits including wildfire risk reduction, rural job growth, and improved food security.
Biochar production, located in Scotia, CA with annual credit production of ~10,600 tCO2e/year","Pacific Biochar specializes in the production and distribution of high-quality biochar products designed to sequester carbon while enhancing agricultural and industrial productivity. Pacific Biochar utilizes existing biomass power plant infrastructure to produce biochar, enabling rapid scaling potential with low capital investments. The partnerships we make with these bioenergy facilities result in cascading community benefits including wildfire risk reduction, rural job growth, and improved food security. Biochar production, located in Scotia, CA with annual credit production of ~10,600 tCO2e/year
",OVER_TWO_HUNDRED_YEARS,VALIDATED,United States of America,USA,"Scotia, CA",3042.31,2077.0,904.463,Pacific Biochar,BiCRS,Biomass Carbon Removal and Storage,BIOMASS_CARBON_REMOVAL_AND_STORAGE,2025-12-16T08:58:31.577646+00:00,2025-06-01,2030-05-31
prj_1JVC6T3VR1S0AJ5P,INTERCARBO,3VAJ,"INTERCARBO, Interholco’s biochar production facility in northern Republic of Congo, transforms sawmill waste into biochar through an advanced pyrolysis process. This sustainable initiative prevents open-air burning, reducing emissions and improving air quality. The produced biochar serves as a long-term carbon sink in Interholco’s own forest concession, and is buried under abandoned forest roads. By turning wood waste into a valuable resource, InterCarbo contributes to climate change mitigation and ecological restoration. ","INTERCARBO, Interholco’s biochar production facility in northern Republic of Congo, transforms sawmill waste into biochar through an advanced pyrolysis process. This sustainable initiative prevents open-air burning, reducing emissions and improving air quality. The produced biochar serves as a long-term carbon sink in Interholco’s own forest concession, and is buried under abandoned forest roads. By turning wood waste into a valuable resource, InterCarbo contributes to climate change mitigation and ecological restoration. ",OVER_ONE_THOUSAND_YEARS,UNDER_VALIDATION,Congo,COG,Republic of Congo,0.0,0.0,0.0,Interholco,BiCRS,Biomass Carbon Removal and Storage,BIOMASS_CARBON_REMOVAL_AND_STORAGE,,2026-01-02,2031-01-02
prj_1JPMVNV6K1S0WWRZ,KARBOTECH one,18FF,"MicroCHAR® is a unique project providing customers with technology that uses agricultural residues to produce the MicroCHAR® soil conditioner. This soil conditioner is used to regenerate the soil while simultaneously extracting carbon from CO2 and storing it within the soil permanently. Biochar represents the permanent removal of carbon from CO2, thus generating tradable carbon certificates.", ,OVER_ONE_THOUSAND_YEARS,UNDER_VALIDATION,Czechia,CZE,Czechia,0.0,0.0,0.0,agriCARBON,BiCRS,Biomass Carbon Removal and Storage,BIOMASS_CARBON_REMOVAL_AND_STORAGE,,2026-01-01,2031-12-31
prj_1K39D0N8S1S0TMKX,Kvina River CDR Project,XJ4Y,"Kvina River CDR Project results in the drawdown and permanent storage of CO2 that would otherwise reside in the atmosphere. By adding finely crushed natural alkaline rock, the river’s pH, calcium, and total alkalinity are increased, strengthening ecosystem health and resilience in both the river and estuary. The alkaline material reacts with dissolved CO₂ to form stable bicarbonate ions, which increase the river’s dissolved inorganic carbon (DIC) load. As these bicarbonates flow to the ocean, they provide permanent, safe carbon storage for millennia while also improving water chemistry.","Kvina River CDR Project results in the drawdown and permanent storage of CO2 that would otherwise reside in the atmosphere. By adding finely crushed natural alkaline rock, the river’s pH, calcium, and total alkalinity are increased, strengthening ecosystem health and resilience in both the river and estuary. The alkaline material reacts with dissolved CO₂ to form stable bicarbonate ions, which increase the river’s dissolved inorganic carbon (DIC) load. As these bicarbonates flow to the ocean, they provide permanent, safe carbon storage for millennia while also improving water chemistry.",OVER_ONE_THOUSAND_YEARS,UNDER_VALIDATION,Norway,NOR,Kvinesdal,0.0,0.0,0.0,CarbonRun,Marine,Marine,MARINE,,2025-05-15,2030-05-15
prj_1K3MGXD4A1S0S3H8,La Perla,RGQX,"The La Perla project involves spreading highly-reactive volcanic feedstock across 201 hectares of sugarcane fields, in partnership with smallholder farmers, to permanently remove over 1,500 tons of CO2 and improve crop yields.","The La Perla project involves spreading highly-reactive volcanic feedstock across 201 hectares of sugarcane fields, in partnership with smallholder farmers, to permanently remove over 1,500 tons of CO2 and improve crop yields.",OVER_ONE_THOUSAND_YEARS,UNDER_VALIDATION,Mexico,MEX,"Papaloapan Basin, Mexico",0.0,0.0,0.0,Silica,EW,Enhanced Weathering,ENHANCED_WEATHERING,,2025-03-01,2029-12-31
prj_1J4P33N6W1S0RKE2,Loblolly Project,V093,"Graphyte’s Carbon Casting technology transforms biomass residues from the agriculture and timber industries into durable carbon removal. The Carbon Casting process involves drying and compressing biomass residues into stable ‘carbon blocks.’ These blocks are wrapped in a waterproof barrier designed to prevent carbon from re-entering the atmosphere for over 1,000 years. The blocks are then stored underground in an engineered chamber with a gas detection system that directly monitors for carbon dioxide and methane. 

The Loblolly Project in Pine Bluff, Arkansas is the first deployment of Graphyte’s Carbon Casting technology. The Project utilizes excess sawdust, bark, and rice hulls produced from local farmers and timber companies in Southeast Arkansas. ","The Loblolly Project is Graphyte's first deployment in Pine Bluff, Arkansas. This project turns local rice hulls and sawmill residues into durable carbon removal through the Carbon Casting process.",OVER_ONE_THOUSAND_YEARS,VALIDATED,United States of America,USA,"Grant County, Arkansas",11229.58,4574.0,5869.309,Graphyte,BiCRS,Biomass Carbon Removal and Storage,BIOMASS_CARBON_REMOVAL_AND_STORAGE,2024-11-07T19:00:00+00:00,2024-08-18,2029-08-17
prj_1K09XZV1B1S023XT,Moser River,7FPK,"CarbonRun will implement River Alkalinity Enhancement (RAE) on the Moser River, Nova Scotia, starting Fall 2025. This involves adding finely crushed natural alkaline rock to the river, which reacts with CO₂ to form stable bicarbonate, increasing the river's dissolved inorganic carbon (DIC) transport capacity. Once transported to the ocean, this bicarbonate is stored for over 1,000 years. The project aims to permanently sequester carbon and improve water quality to support healthier ecosystems.","CarbonRun will implement River Alkalinity Enhancement (RAE) on the Moser River, Nova Scotia, starting Fall 2025. This involves adding finely crushed natural alkaline rock to the river, which reacts with CO₂ to form stable bicarbonate, increasing the river's dissolved inorganic carbon (DIC) transport capacity. Once transported to the ocean, this bicarbonate is stored for over 1,000 years. The project aims to permanently sequester carbon and improve water quality to support healthier ecosystems.",OVER_ONE_THOUSAND_YEARS,UNDER_VALIDATION,Canada,CAN,"Nova Scotia, Canada",0.0,0.0,0.0,CarbonRun,Marine,Marine,MARINE,,,
prj_1K1T6SHXE1S0F3H4,MVC Biochar,AYT7,"This Biochar Carbon Removal project, the first of its kind in Chile, uses locally built, stationary double-barrel retort kilns for slow pyrolysis of residual Eucalyptus biomass. Operating at 400–600°C, each kiln produces high-carbon biochar with a low H/C ratio for use exclusively in soils. The first unit launches in 2025, with five more planned for 2026, targeting an annual output of ~3,110 tonnes of biochar and up to 8,806 carbon removal credits. Managed by Carbono Capital SpA, the project integrates regenerative agriculture, digital MRV tools, and community-based compost-biochar application, creating durable sustainable livelihoods on family-owned farmland.","This Biochar Carbon Removal project, the first of its kind in Chile, uses locally built, stationary double-barrel retort kilns for slow pyrolysis of residual Eucalyptus biomass. Operating at 400–600°C, each kiln produces high-carbon biochar with a low H/C ratio for use exclusively in soils. The first unit launches in 2025, with five more planned for 2026, targeting an annual output of ~3,110 tonnes of biochar and up to 8,806 carbon removal credits. Managed by Carbono Capital SpA, the project integrates regenerative agriculture, digital MRV tools, and community-based compost-biochar application, creating durable sustainable livelihoods on family-owned farmland.",OVER_TWO_HUNDRED_YEARS,UNDER_VALIDATION,Chile,CHL,Chile,0.0,0.0,0.0,Carbono Capital,BiCRS,Biomass Carbon Removal and Storage,BIOMASS_CARBON_REMOVAL_AND_STORAGE,,2025-11-17,2030-11-17
prj_1JFA3YY9P1S0YVKR,New England WAE Project,X8KC,"CREW removes carbon dioxide from the atmosphere via wastewater treatment systems, deploying fine-grained natural minerals like calcium carbonate in wastewater treatment systems. The deployment locations for this project are municipal wastewater facilitiies that serve the New England area and discharge directly into the ocean. Onsite, the feedstock is transferred into CREW’s dosing systems, and is dosed into the wastewater treatment reactors as a slurry. CREW’s system controls the rate of dosing to optimize process benefits and CDR.","CREW removes carbon dioxide from the atmosphere via wastewater treatment systems, deploying fine-grained natural minerals like calcium carbonate in wastewater treatment systems",OVER_ONE_THOUSAND_YEARS,VALIDATED,United States of America,USA,New England,476.92,166.0,301.377,CREW Carbon,Marine,Marine,MARINE,2025-04-30T16:17:35.515337+00:00,2023-07-11,2028-07-10
prj_1H502CZZH1S0VMYW,Nova Scotia Mineral OAE Project,F5X7,"Planetary Technologies add alkaline compounds to seawater to enhance the natural ability of seawater to absorb atmospheric carbon dioxide, storing the carbon in dissolved carbon-containing ions in the oceans for 10,000-100,000 years.","Planetary Technologies add alkaline compounds to seawater to enhance the natural ability of seawater to absorb atmospheric carbon dioxide, storing the carbon in dissolved carbon-containing ions in the oceans for 10,000-100,000 years.",OVER_ONE_THOUSAND_YEARS,VALIDATED,Canada,CAN,"Nova Scotia, Canada",3323.27,1649.0,1607.804,Planetary,Marine,Marine,MARINE,2025-03-31T12:50:29.483184+00:00,2024-02-01,2029-01-31
prj_1JQEQKCF91S06HAJ,Ontario Avenue Bio-Oil Sequestration,GHYZ,"NULIFE GreenTech utilizes patented Hydrothermal Liquefaction (HTL) technology to convert waste biomass into carbon dense bio-oil. The Ontario Avenue project is in Saskatoon, SK, Canada. The Project utilizes wet and dry waste biomass from local food processing facilities. The bio-oil is transported to a third-party injection site for sequestration into a Canadian underground salt cavern. This project is the first commercial deployment of NULIFE’s modular and rapidly deployable HTL technology. The Ontario Avenue site will act as a showcase facility to validate unmatched biomass feedstock flexibility and versatile output capabilities for a range of high-value co-products.","NULIFE GreenTech utilizes patented Hydrothermal Liquefaction (HTL) technology to convert waste biomass into carbon dense bio-oil. The Ontario Avenue project is in Saskatoon, SK, Canada. The Project utilizes wet and dry waste biomass from local food processing facilities. The bio-oil is transported to a third-party injection site for sequestration into a Canadian underground salt cavern. This project is the first commercial deployment of NULIFE’s modular and rapidly deployable HTL technology. The Ontario Avenue site will act as a showcase facility to validate unmatched biomass feedstock flexibility and versatile output capabilities for a range of high-value co-products.",OVER_ONE_THOUSAND_YEARS,VALIDATED,Canada,CAN,Saskatoon,354.43,65.0,282.34,NULIFE GreenTech,BiCRS,Biomass Carbon Removal and Storage,BIOMASS_CARBON_REMOVAL_AND_STORAGE,2025-09-30T17:52:13.953353+00:00,2025-06-01,2030-06-01
prj_1JQ775W7D1S0WYSA,Project Araçari,H2QE,"Enhanced Weathering project executed on agricultural land in Brazil. The purpose of the project is to remove carbon durably through the application of locally sourced basaltic rock powder whilst restoring degraded soils. The project activity involves spreading basalt rock powder (20t/ha) on a Citrus (orange) plantation of 358ha. The rock powder is supplied from a local feedstock supplier. The basalt is a certified remineralizer, which is legally certified for agronomic application with strict physio-chemical and mineralogical requirements.",Enhanced Weathering project executed on agricultural land in Brazil. The purpose of the project is to remove carbon durably through the application of locally sourced basaltic rock powder whilst restoring degraded soils.,OVER_ONE_THOUSAND_YEARS,VALIDATED,Brazil,BRA,"Sao Paolo, Brazil",319.97,0.0,313.57,InPlanet,EW,Enhanced Weathering,ENHANCED_WEATHERING,2025-11-04T18:33:13.174917+00:00,2024-08-01,2029-08-01
prj_1K10D531D1S0DEV9,Project Carcará,E8NE,"Terradot sources finely ground basaltic rock powder from local quarries and applies it to agricultural land in order to remove carbon dioxide from the atmosphere for >1,000 years.","Terradot sources finely ground basaltic rock powder from local quarries and applies it to agricultural land in order to remove carbon dioxide from the atmosphere for >1,000 years.",OVER_ONE_THOUSAND_YEARS,VALIDATED,Brazil,BRA,Project Carcará,0.0,0.0,0.0,Terradot,EW,Enhanced Weathering,ENHANCED_WEATHERING,2025-08-29T10:44:46.240576+00:00,2024-04-29,2029-04-29
prj_1K4SN1CT61S0NZ7N,Project Elbe 1,B42M,"Planeteers' first project captures CO₂ from a power plant that burns methane produced through the fermentation of sewage sludge. The captured CO₂ reacts with alkaline material, converting it into dissolved inorganic carbon (DIC) in the form of bicarbonate and carbonate. The resulting solution is released into the ocean, where the carbon remains stored for more than 1,000 years.","Planeteers' first project captures CO₂ from a power plant that burns methane produced through the fermentation of sewage sludge. The captured CO₂ reacts with alkaline material, converting it into dissolved inorganic carbon (DIC) in the form of bicarbonate and carbonate. The resulting solution is released into the ocean, where the carbon remains stored for more than 1,000 years.",OVER_ONE_THOUSAND_YEARS,VALIDATED,Germany,DEU,"Hetlingen, Germany",0.0,0.0,0.0,Planeteers,Marine,Marine,MARINE,2025-12-12T09:30:59.700088+00:00,2026-01-01,2030-12-31
prj_1JQCK4WZX1S0ANXP,Project Juniper,E9MP,"Project Juniper is a direct air capture (DAC) and ex-situ mineralization project owned by Clairity and operated by Clairity. Project Juniper captures atmospheric CO2 using Clairity’s novel, low-cost, and scalable approach to DAC, storing CO2 permanently in carbonated materials using a closed, engineered ex-situ mineralization process. Project Juniper is carbon negative and water positive, generating water for water-stressed communities in the Southern Nevada region where the project is located. Project Juniper is fully electric and can be powered by clean energy from the local grid operator.","Project Juniper captures atmospheric CO2 using Clairity’s novel, low-cost, and scalable approach to DAC, storing CO2 permanently in carbonated materials using a closed, engineered ex-situ mineralization process.",OVER_ONE_THOUSAND_YEARS,UNDER_VALIDATION,United States of America,USA,Juniper,0.0,0.0,0.0,Clairity,DAC,Direct Air Capture,DIRECT_AIR_CAPTURE,,,
prj_1JWX91R5E1S00PN0,Project Nandani,PZDR,"Project Nandani converts sugarcane residues into high-quality biochar through advanced pyrolysis in Maharashtra’s sugarcane belt, preventing open-field burning and enabling durable carbon storage. The project improves soil fertility and water retention, supports regenerative agriculture, and generates verified carbon removal credits under the Isometric Standard—linking climate action with rural livelihoods.","Project Nandani converts sugarcane residues into high-quality biochar through advanced pyrolysis in Maharashtra’s sugarcane belt, preventing open-field burning and enabling durable carbon storage. The project improves soil fertility and water retention, supports regenerative agriculture, and generates verified carbon removal credits under the Isometric Standard—linking climate action with rural livelihoods.",OVER_ONE_THOUSAND_YEARS,UNDER_VALIDATION,India,IND,"Maharashtra, India",0.0,0.0,0.0,Ground Up,BiCRS,Biomass Carbon Removal and Storage,BIOMASS_CARBON_REMOVAL_AND_STORAGE,,2025-12-01,2030-12-01
